PID,task_no,bug,condition,correct,duration_min,n_navigation,n_files_opened,opened_files
P1,1,math33,control,N,25.1567,50,5,/src/main/java/org/apache/commons/math3/optimization/linear/AbstractLinearOptimizer.java|/src/main/java/org/apache/commons/math3/optimization/linear/SimplexSolver.java|/src/main/java/org/apache/commons/math3/optimization/linear/SimplexTableau.java|/src/main/java/org/apache/commons/math3/util/Precision.java|/src/test/java/org/apache/commons/math3/optimization/linear/SimplexSolverTest.java
P1,2,math50,correct,N,18.0467,23,7,/src/main/java/org/apache/commons/math/analysis/solvers/AbstractDifferentiableUnivariateRealSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/BaseAbstractUnivariateRealSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/BaseSecantSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/UnivariateRealSolverUtils.java|/src/main/java/org/apache/commons/math/exception/TooManyEvaluationsException.java|/src/main/java/org/apache/commons/math/util/Incrementor.java|/src/test/java/org/apache/commons/math/analysis/solvers/RegulaFalsiSolverTest.java
P1,3,math63,overfitting,N,1.6683,2,2,/src/main/java/org/apache/commons/math/util/MathUtils.java|/src/test/java/org/apache/commons/math/util/MathUtilsTest.java
P2,1,math50,control,N,25.4133,6,6,/src/main/java/org/apache/commons/math/analysis/UnivariateRealFunction.java|/src/main/java/org/apache/commons/math/analysis/function/Asin.java|/src/main/java/org/apache/commons/math/analysis/solvers/RegulaFalsiSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/UnivariateRealSolver.java|/src/main/java/org/apache/commons/math/exception/MathUserException.java|/src/test/java/org/apache/commons/math/analysis/solvers/RegulaFalsiSolverTest.java
P2,2,chart12,overfitting,N,25.38,18,7,/source/org/jfree/chart/plot/MultiplePiePlot.java|/source/org/jfree/chart/plot/dial/AbstractDialLayer.java|/source/org/jfree/data/category/DefaultCategoryDataset.java|/source/org/jfree/data/general/AbstractDataset.java|/tests/org/jfree/chart/plot/junit/CategoryPlotTests.java|/tests/org/jfree/chart/plot/junit/MultiplePiePlotTests.java|/tests/org/jfree/chart/plot/junit/XYPlotTests.java
P2,3,lang10,correct,N,20.165,8,2,/src/main/java/org/apache/commons/lang3/time/FastDateParser.java|/src/test/java/org/apache/commons/lang3/time/FastDateParserTest.java
P3,1,chart12,overfitting,Y,23.86,14,8,/source/org/jfree/chart/plot/MultiplePiePlot.java|/source/org/jfree/chart/plot/PolarPlot.java|/source/org/jfree/data/Values2D.java|/source/org/jfree/data/category/DefaultCategoryDataset.java|/source/org/jfree/data/general/AbstractDataset.java|/tests/org/jfree/chart/plot/junit/CategoryPlotTests.java|/tests/org/jfree/chart/plot/junit/MeterPlotTests.java|/tests/org/jfree/chart/plot/junit/MultiplePiePlotTests.java
P3,2,math50,control,N,25.1883,29,8,/src/main/java/org/apache/commons/math/analysis/solvers/AbstractUnivariateRealSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/BaseAbstractUnivariateRealSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/BaseSecantSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/BaseUnivariateRealSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/NewtonSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/RegulaFalsiSolver.java|/src/main/java/org/apache/commons/math/util/Incrementor.java|/src/test/java/org/apache/commons/math/analysis/solvers/RegulaFalsiSolverTest.java
P3,3,math63,correct,Y,18.9917,20,3,/src/main/java/org/apache/commons/math/util/FastMath.java|/src/main/java/org/apache/commons/math/util/MathUtils.java|/src/test/java/org/apache/commons/math/util/MathUtilsTest.java
P4,1,math63,overfitting,Y,15.5267,9,2,/src/main/java/org/apache/commons/math/util/MathUtils.java|/src/test/java/org/apache/commons/math/util/MathUtilsTest.java
P4,2,chart12,correct,Y,13.1083,8,6,/source/org/jfree/chart/plot/MultiplePiePlot.java|/source/org/jfree/data/category/CategoryDataset.java|/source/org/jfree/data/general/AbstractDataset.java|/source/org/jfree/data/general/Dataset.java|/source/org/jfree/data/general/DatasetChangeListener.java|/tests/org/jfree/chart/plot/junit/MultiplePiePlotTests.java
P4,3,lang10,control,N,25.22,17,4,/src/main/java/org/apache/commons/lang3/time/DateParser.java|/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java|/src/main/java/org/apache/commons/lang3/time/FastDateParser.java|/src/test/java/org/apache/commons/lang3/time/FastDateParserTest.java
P5,1,math63,control,N,19.5267,3,7,/src/main/java/org/apache/commons/math/ArgumentOutsideDomainException.java|/src/main/java/org/apache/commons/math/ConvergenceException.java|/src/main/java/org/apache/commons/math/MathException.java|/src/main/java/org/apache/commons/math/util/MathUtils.java|/src/test/java/org/apache/commons/math/ArgumentOutsideDomainExceptionTest.java|/src/test/java/org/apache/commons/math/MathExceptionTest.java|/src/test/java/org/apache/commons/math/util/MathUtilsTest.java
P5,2,lang10,overfitting,N,15.6167,3,4,/src/main/java/org/apache/commons/lang3/BitField.java|/src/main/java/org/apache/commons/lang3/StringUtils.java|/src/main/java/org/apache/commons/lang3/time/FastDateParser.java|/src/test/java/org/apache/commons/lang3/time/FastDateParserTest.java
P5,3,math33,correct,Y,11.9917,1,5,/src/main/java/org/apache/commons/math3/optimization/linear/LinearObjectiveFunction.java|/src/main/java/org/apache/commons/math3/optimization/linear/LinearOptimizer.java|/src/main/java/org/apache/commons/math3/optimization/linear/SimplexSolver.java|/src/main/java/org/apache/commons/math3/optimization/linear/SimplexTableau.java|/src/test/java/org/apache/commons/math3/optimization/linear/SimplexSolverTest.java
P6,1,chart12,correct,Y,14.89,27,9,/source/org/jfree/chart/plot/MultiplePiePlot.java|/source/org/jfree/chart/plot/Plot.java|/source/org/jfree/data/category/CategoryDataset.java|/source/org/jfree/data/general/AbstractDataset.java|/source/org/jfree/data/general/Dataset.java|/source/org/jfree/data/general/DatasetChangeEvent.java|/source/org/jfree/data/general/DatasetChangeListener.java|/tests/org/jfree/chart/plot/junit/CategoryPlotTests.java|/tests/org/jfree/chart/plot/junit/MultiplePiePlotTests.java
P6,2,lang10,control,N,25.1817,24,4,/src/main/java/org/apache/commons/lang3/time/DateParser.java|/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java|/src/main/java/org/apache/commons/lang3/time/FastDateParser.java|/src/test/java/org/apache/commons/lang3/time/FastDateParserTest.java
P6,3,math63,overfitting,Y,9.4267,6,2,/src/main/java/org/apache/commons/math/util/MathUtils.java|/src/test/java/org/apache/commons/math/util/MathUtilsTest.java
P7,1,math50,control,N,25.2383,21,7,/src/main/java/org/apache/commons/math/analysis/UnivariateRealFunction.java|/src/main/java/org/apache/commons/math/analysis/solvers/BaseAbstractUnivariateRealSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/BaseSecantSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/BaseUnivariateRealSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/RegulaFalsiSolver.java|/src/main/java/org/apache/commons/math/geometry/partitioning/RegionFactory.java|/src/test/java/org/apache/commons/math/analysis/solvers/RegulaFalsiSolverTest.java
P7,2,math33,correct,N,25.2883,20,4,/src/main/java/org/apache/commons/math3/optimization/linear/SimplexSolver.java|/src/main/java/org/apache/commons/math3/optimization/linear/SimplexTableau.java|/src/main/java/org/apache/commons/math3/util/Precision.java|/src/test/java/org/apache/commons/math3/optimization/linear/SimplexSolverTest.java
P7,3,chart12,overfitting,Y,4.4567,8,3,/source/org/jfree/chart/plot/MultiplePiePlot.java|/source/org/jfree/data/general/AbstractDataset.java|/tests/org/jfree/chart/plot/junit/MultiplePiePlotTests.java
P8,1,lang10,correct,Y,25.245,26,4,/src/main/java/org/apache/commons/lang3/time/DateParser.java|/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java|/src/main/java/org/apache/commons/lang3/time/FastDateParser.java|/src/test/java/org/apache/commons/lang3/time/FastDateParserTest.java
P8,2,math50,overfitting,N,25.2883,24,7,/src/main/java/org/apache/commons/math/analysis/UnivariateRealFunction.java|/src/main/java/org/apache/commons/math/analysis/solvers/BaseSecantSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/BaseUnivariateRealSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/RegulaFalsiSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/UnivariateRealSolver.java|/src/test/java/org/apache/commons/math/analysis/solvers/BaseSecantSolverAbstractTest.java|/src/test/java/org/apache/commons/math/analysis/solvers/RegulaFalsiSolverTest.java
P8,3,math63,control,Y,25.2717,33,2,/src/main/java/org/apache/commons/math/util/MathUtils.java|/src/test/java/org/apache/commons/math/util/MathUtilsTest.java
P9,1,math33,control,N,25.2517,19,10,/src/main/java/org/apache/commons/math3/linear/ArrayRealVector.java|/src/main/java/org/apache/commons/math3/optimization/PointValuePair.java|/src/main/java/org/apache/commons/math3/optimization/linear/AbstractLinearOptimizer.java|/src/main/java/org/apache/commons/math3/optimization/linear/LinearConstraint.java|/src/main/java/org/apache/commons/math3/optimization/linear/LinearOptimizer.java|/src/main/java/org/apache/commons/math3/optimization/linear/SimplexSolver.java|/src/main/java/org/apache/commons/math3/optimization/linear/SimplexTableau.java|/src/main/java/org/apache/commons/math3/util/Pair.java|/src/main/java/org/apache/commons/math3/util/Precision.java|/src/test/java/org/apache/commons/math3/optimization/linear/SimplexSolverTest.java
P9,2,math50,overfitting,N,20.7283,16,9,/src/main/java/org/apache/commons/math/analysis/solvers/BaseAbstractUnivariateRealSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/BaseSecantSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/BaseUnivariateRealSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/RegulaFalsiSolver.java|/src/main/java/org/apache/commons/math/exception/MaxCountExceededException.java|/src/main/java/org/apache/commons/math/exception/TooManyEvaluationsException.java|/src/main/java/org/apache/commons/math/exception/util/LocalizedFormats.java|/src/main/java/org/apache/commons/math/util/Incrementor.java|/src/test/java/org/apache/commons/math/analysis/solvers/RegulaFalsiSolverTest.java
P9,3,chart12,correct,Y,5.6967,2,3,/source/org/jfree/chart/plot/MultiplePiePlot.java|/source/org/jfree/data/general/AbstractDataset.java|/tests/org/jfree/chart/plot/junit/MultiplePiePlotTests.java
P10,1,math50,overfitting,N,25.145,3,3,/src/main/java/org/apache/commons/math/analysis/solvers/AllowedSolution.java|/src/main/java/org/apache/commons/math/analysis/solvers/BaseSecantSolver.java|/src/test/java/org/apache/commons/math/analysis/solvers/RegulaFalsiSolverTest.java
P10,2,lang10,control,N,25.18,15,3,/src/main/java/org/apache/commons/lang3/time/DateParser.java|/src/main/java/org/apache/commons/lang3/time/FastDateParser.java|/src/test/java/org/apache/commons/lang3/time/FastDateParserTest.java
P10,3,chart12,correct,Y,3.26,2,3,/source/org/jfree/chart/plot/MultiplePiePlot.java|/source/org/jfree/data/general/Dataset.java|/tests/org/jfree/chart/plot/junit/MultiplePiePlotTests.java
P11,1,chart12,overfitting,Y,5.7917,10,6,/source/org/jfree/chart/plot/MultiplePiePlot.java|/source/org/jfree/chart/plot/XYPlot.java|/source/org/jfree/data/category/CategoryDataset.java|/source/org/jfree/data/category/DefaultCategoryDataset.java|/source/org/jfree/data/general/AbstractDataset.java|/tests/org/jfree/chart/plot/junit/MultiplePiePlotTests.java
P11,2,math33,correct,Y,22.1883,25,8,/src/main/java/org/apache/commons/math3/optimization/linear/AbstractLinearOptimizer.java|/src/main/java/org/apache/commons/math3/optimization/linear/LinearConstraint.java|/src/main/java/org/apache/commons/math3/optimization/linear/LinearObjectiveFunction.java|/src/main/java/org/apache/commons/math3/optimization/linear/SimplexSolver.java|/src/main/java/org/apache/commons/math3/optimization/linear/SimplexTableau.java|/src/main/java/org/apache/commons/math3/util/Precision.java|/src/test/java/org/apache/commons/math3/optimization/linear/SimplexSolverTest.java|/src/test/java/org/apache/commons/math3/optimization/linear/SimplexTableauTest.java
P11,3,math50,control,N,25.25,33,13,/src/main/java/org/apache/commons/math/analysis/solvers/AbstractDifferentiableUnivariateRealSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/AbstractPolynomialSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/AbstractUnivariateRealSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/BaseAbstractUnivariateRealSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/BaseSecantSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/BaseUnivariateRealSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/NewtonSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/RegulaFalsiSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/RiddersSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/UnivariateRealSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/UnivariateRealSolverUtils.java|/src/main/java/org/apache/commons/math/util/Incrementor.java|/src/test/java/org/apache/commons/math/analysis/solvers/RegulaFalsiSolverTest.java
P12,1,math63,correct,N,21.725,4,2,/src/main/java/org/apache/commons/math/util/MathUtils.java|/src/test/java/org/apache/commons/math/util/MathUtilsTest.java
P12,2,chart12,control,Y,12.5367,15,5,/source/org/jfree/chart/plot/MultiplePiePlot.java|/source/org/jfree/data/category/CategoryDataset.java|/source/org/jfree/data/category/DefaultCategoryDataset.java|/source/org/jfree/data/general/AbstractDataset.java|/tests/org/jfree/chart/plot/junit/MultiplePiePlotTests.java
P12,3,lang10,overfitting,N,25.2533,20,2,/src/main/java/org/apache/commons/lang3/time/FastDateParser.java|/src/test/java/org/apache/commons/lang3/time/FastDateParserTest.java
P13,1,chart12,control,Y,19.87,22,6,/source/org/jfree/chart/plot/MultiplePiePlot.java|/source/org/jfree/data/DefaultKeyedValues2D.java|/source/org/jfree/data/category/DefaultCategoryDataset.java|/source/org/jfree/data/general/AbstractDataset.java|/tests/org/jfree/chart/plot/junit/CategoryPlotTests.java|/tests/org/jfree/chart/plot/junit/MultiplePiePlotTests.java
P13,2,math50,correct,Y,10.2417,6,3,/src/main/java/org/apache/commons/math/analysis/UnivariateRealFunction.java|/src/main/java/org/apache/commons/math/analysis/solvers/BaseSecantSolver.java|/src/test/java/org/apache/commons/math/analysis/solvers/RegulaFalsiSolverTest.java
P13,3,lang10,overfitting,N,25.245,15,3,/src/main/java/org/apache/commons/lang3/StringUtils.java|/src/main/java/org/apache/commons/lang3/time/FastDateParser.java|/src/test/java/org/apache/commons/lang3/time/FastDateParserTest.java
P14,1,chart12,correct,Y,3.6483,4,5,/source/org/jfree/chart/plot/MultiplePiePlot.java|/source/org/jfree/chart/plot/PiePlot.java|/source/org/jfree/data/general/AbstractDataset.java|/source/org/jfree/data/general/Dataset.java|/tests/org/jfree/chart/plot/junit/MultiplePiePlotTests.java
P14,2,math63,overfitting,N,9.8767,11,2,/src/main/java/org/apache/commons/math/util/MathUtils.java|/src/test/java/org/apache/commons/math/util/MathUtilsTest.java
P14,3,math33,control,N,25.2767,32,7,/src/main/java/org/apache/commons/math3/optimization/PointValuePair.java|/src/main/java/org/apache/commons/math3/optimization/linear/AbstractLinearOptimizer.java|/src/main/java/org/apache/commons/math3/optimization/linear/SimplexSolver.java|/src/main/java/org/apache/commons/math3/optimization/linear/SimplexTableau.java|/src/main/java/org/apache/commons/math3/util/Pair.java|/src/main/java/org/apache/commons/math3/util/Precision.java|/src/test/java/org/apache/commons/math3/optimization/linear/SimplexSolverTest.java
P15,1,chart12,overfitting,N,25.29,70,17,/source/org/jfree/chart/plot/MultiplePiePlot.java|/source/org/jfree/chart/plot/PiePlot.java|/source/org/jfree/chart/util/TableOrder.java|/source/org/jfree/data/DefaultKeyedValues2D.java|/source/org/jfree/data/KeyedValues2D.java|/source/org/jfree/data/category/CategoryDataset.java|/source/org/jfree/data/category/CategoryToPieDataset.java|/source/org/jfree/data/category/DefaultCategoryDataset.java|/source/org/jfree/data/general/AbstractDataset.java|/source/org/jfree/data/general/Dataset.java|/source/org/jfree/data/general/PieDataset.java|/tests/org/jfree/chart/plot/junit/CategoryPlotTests.java|/tests/org/jfree/chart/plot/junit/MultiplePiePlotTests.java|/tests/org/jfree/chart/plot/junit/PiePlot3DTests.java|/tests/org/jfree/chart/plot/junit/PiePlotTests.java|/tests/org/jfree/chart/plot/junit/PlotOrientationTests.java|/tests/org/jfree/chart/plot/junit/PlotTests.java
P15,2,math50,control,N,25.2,60,15,/src/main/java/org/apache/commons/math/analysis/solvers/AbstractUnivariateRealSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/BaseAbstractUnivariateRealSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/BaseSecantSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/BaseUnivariateRealSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/RegulaFalsiSolver.java|/src/main/java/org/apache/commons/math/exception/TooManyEvaluationsException.java|/src/main/java/org/apache/commons/math/optimization/direct/AbstractSimplex.java|/src/main/java/org/apache/commons/math/optimization/direct/BaseAbstractScalarOptimizer.java|/src/main/java/org/apache/commons/math/optimization/direct/MultiDirectionalSimplex.java|/src/main/java/org/apache/commons/math/optimization/direct/NelderMeadSimplex.java|/src/main/java/org/apache/commons/math/optimization/direct/SimplexOptimizer.java|/src/main/java/org/apache/commons/math/util/Incrementor.java|/src/test/java/org/apache/commons/math/analysis/solvers/RegulaFalsiSolverTest.java|/src/test/java/org/apache/commons/math/optimization/direct/SimplexOptimizerNelderMeadTest.java|/src/test/java/org/apache/commons/math/stat/regression/MillerUpdatingRegressionTest.java
P15,3,math33,correct,N,25.3183,42,8,/src/main/java/org/apache/commons/math3/optimization/linear/AbstractLinearOptimizer.java|/src/main/java/org/apache/commons/math3/optimization/linear/LinearObjectiveFunction.java|/src/main/java/org/apache/commons/math3/optimization/linear/SimplexSolver.java|/src/main/java/org/apache/commons/math3/optimization/linear/SimplexTableau.java|/src/main/java/org/apache/commons/math3/util/FastMath.java|/src/main/java/org/apache/commons/math3/util/Precision.java|/src/test/java/org/apache/commons/math3/optimization/linear/SimplexSolverTest.java|/src/test/java/org/apache/commons/math3/util/PrecisionTest.java
P16,1,math63,overfitting,Y,5.28,4,2,/src/main/java/org/apache/commons/math/util/MathUtils.java|/src/test/java/org/apache/commons/math/util/MathUtilsTest.java
P16,2,chart12,correct,Y,11.6083,19,7,/source/org/jfree/chart/plot/MultiplePiePlot.java|/source/org/jfree/chart/plot/PiePlot.java|/source/org/jfree/chart/plot/Plot.java|/source/org/jfree/data/category/CategoryDataset.java|/source/org/jfree/data/general/Dataset.java|/source/org/jfree/data/general/DatasetChangeListener.java|/tests/org/jfree/chart/plot/junit/MultiplePiePlotTests.java
P16,3,math50,control,N,25.2017,26,15,/src/main/java/org/apache/commons/math/analysis/solvers/AbstractDifferentiableUnivariateRealSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/BaseAbstractUnivariateRealSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/BaseSecantSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/BaseUnivariateRealSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/RegulaFalsiSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/UnivariateRealSolver.java|/src/test/java/org/apache/commons/math/MathConfigurationExceptionTest.java|/src/test/java/org/apache/commons/math/analysis/solvers/BaseSecantSolverAbstractTest.java|/src/test/java/org/apache/commons/math/analysis/solvers/RegulaFalsiSolverTest.java|/src/test/java/org/apache/commons/math/exception/DimensionMismatchExceptionTest.java|/src/test/java/org/apache/commons/math/exception/MaxCountExceededExceptionTest.java|/src/test/java/org/apache/commons/math/exception/NonMonotonousSequenceExceptionTest.java|/src/test/java/org/apache/commons/math/exception/NotStrictlyPositiveExceptionTest.java|/src/test/java/org/apache/commons/math/util/BigRealFieldTest.java|/src/test/java/org/apache/commons/math/util/FastMathTest.java
P17,1,math33,correct,Y,25.2433,4,3,/src/main/java/org/apache/commons/math3/optimization/linear/SimplexTableau.java|/src/main/java/org/apache/commons/math3/util/Precision.java|/src/test/java/org/apache/commons/math3/optimization/linear/SimplexSolverTest.java
P17,2,lang10,overfitting,N,25.2167,16,2,/src/main/java/org/apache/commons/lang3/time/FastDateParser.java|/src/test/java/org/apache/commons/lang3/time/FastDateParserTest.java
P17,3,math63,control,N,5.2967,2,2,/src/main/java/org/apache/commons/math/util/MathUtils.java|/src/test/java/org/apache/commons/math/util/MathUtilsTest.java
P18,1,math33,correct,Y,14.9817,3,37,/src/main/java/org/apache/commons/math3/optimization/linear/SimplexSolver.java|/src/main/java/org/apache/commons/math3/optimization/linear/SimplexTableau.java|/src/main/java/org/apache/commons/math3/util/DoubleArray.java|/src/main/java/org/apache/commons/math3/util/FastMath.java|/src/main/java/org/apache/commons/math3/util/ResizableDoubleArray.java|/src/test/java/org/apache/commons/math3/PerfTestUtils.java|/src/test/java/org/apache/commons/math3/Retry.java|/src/test/java/org/apache/commons/math3/RetryRunner.java|/src/test/java/org/apache/commons/math3/RetryRunnerTest.java|/src/test/java/org/apache/commons/math3/TestUtils.java|/src/test/java/org/apache/commons/math3/optimization/linear/SimplexSolverTest.java|/src/test/java/org/apache/commons/math3/transform/FastCosineTransformerTest.java|/src/test/java/org/apache/commons/math3/transform/FastFourierTransformerTest.java|/src/test/java/org/apache/commons/math3/transform/FastHadamardTransformerTest.java|/src/test/java/org/apache/commons/math3/transform/FastSineTransformerTest.java|/src/test/java/org/apache/commons/math3/transform/RealTransformerAbstractTest.java|/src/test/java/org/apache/commons/math3/util/ArithmeticUtilsTest.java|/src/test/java/org/apache/commons/math3/util/BigRealFieldTest.java|/src/test/java/org/apache/commons/math3/util/BigRealTest.java|/src/test/java/org/apache/commons/math3/util/ContinuedFractionTest.java|/src/test/java/org/apache/commons/math3/util/Decimal64Test.java|/src/test/java/org/apache/commons/math3/util/DefaultTransformerTest.java|/src/test/java/org/apache/commons/math3/util/DoubleArrayAbstractTest.java|/src/test/java/org/apache/commons/math3/util/FastMathStrictComparisonTest.java|/src/test/java/org/apache/commons/math3/util/FastMathTest.java|/src/test/java/org/apache/commons/math3/util/FastMathTestPerformance.java|/src/test/java/org/apache/commons/math3/util/IncrementorTest.java|/src/test/java/org/apache/commons/math3/util/MathArraysTest.java|/src/test/java/org/apache/commons/math3/util/MathUtilsTest.java|/src/test/java/org/apache/commons/math3/util/MultidimensionalCounterTest.java|/src/test/java/org/apache/commons/math3/util/OpenIntToDoubleHashMapTest.java|/src/test/java/org/apache/commons/math3/util/OpenIntToFieldTest.java|/src/test/java/org/apache/commons/math3/util/PairTest.java|/src/test/java/org/apache/commons/math3/util/PrecisionTest.java|/src/test/java/org/apache/commons/math3/util/ResizableDoubleArrayTest.java|/src/test/java/org/apache/commons/math3/util/TestBean.java|/src/test/java/org/apache/commons/math3/util/TransformerMapTest.java
P18,2,chart12,control,Y,22.8967,24,18,/source/org/jfree/chart/ChartColor.java|/source/org/jfree/chart/ChartPanel.java|/source/org/jfree/chart/JFreeChart.java|/source/org/jfree/chart/event/ChartChangeEvent.java|/source/org/jfree/chart/event/ChartChangeListener.java|/source/org/jfree/chart/event/PlotChangeEvent.java|/source/org/jfree/chart/event/PlotChangeListener.java|/source/org/jfree/chart/plot/DefaultDrawingSupplier.java|/source/org/jfree/chart/plot/MultiplePiePlot.java|/source/org/jfree/chart/plot/PiePlot.java|/source/org/jfree/chart/plot/Plot.java|/source/org/jfree/chart/title/LegendTitle.java|/source/org/jfree/chart/title/Title.java|/source/org/jfree/data/category/DefaultCategoryDataset.java|/source/org/jfree/data/general/AbstractDataset.java|/source/org/jfree/data/general/Dataset.java|/source/org/jfree/data/general/DatasetChangeListener.java|/tests/org/jfree/chart/plot/junit/MultiplePiePlotTests.java
P18,3,lang10,overfitting,N,7.1683,16,3,/src/main/java/org/apache/commons/lang3/time/DateParser.java|/src/main/java/org/apache/commons/lang3/time/FastDateParser.java|/src/test/java/org/apache/commons/lang3/time/FastDateParserTest.java
P19,1,math63,control,N,25.24,2,4,/src/main/java/org/apache/commons/math/util/MathUtils.java|/src/test/java/org/apache/commons/math/ArgumentOutsideDomainExceptionTest.java|/src/test/java/org/apache/commons/math/ConvergenceExceptionTest.java|/src/test/java/org/apache/commons/math/util/MathUtilsTest.java
