PID,task_no,bug,condition,correct,duration_min,n_navigation,n_files_opened,opened_files
P19,2,math50,correct,Y,8.795,7,4,/src/main/java/org/apache/commons/math/analysis/solvers/BaseAbstractUnivariateRealSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/BaseSecantSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/BaseUnivariateRealSolver.java|/src/test/java/org/apache/commons/math/analysis/solvers/RegulaFalsiSolverTest.java
P19,3,math33,overfitting,N,25.1717,10,3,/src/main/java/org/apache/commons/math3/optimization/linear/SimplexTableau.java|/src/main/java/org/apache/commons/math3/util/Precision.java|/src/test/java/org/apache/commons/math3/optimization/linear/SimplexSolverTest.java
P20,1,math33,control,N,25.1833,14,5,/src/main/java/org/apache/commons/math3/optimization/PointValuePair.java|/src/main/java/org/apache/commons/math3/optimization/linear/AbstractLinearOptimizer.java|/src/main/java/org/apache/commons/math3/optimization/linear/SimplexSolver.java|/src/main/java/org/apache/commons/math3/optimization/linear/SimplexTableau.java|/src/test/java/org/apache/commons/math3/optimization/linear/SimplexSolverTest.java
P20,2,chart12,overfitting,N,25.2317,18,5,/source/org/jfree/chart/plot/MultiplePiePlot.java|/source/org/jfree/data/DefaultKeyedValues2D.java|/source/org/jfree/data/category/DefaultCategoryDataset.java|/source/org/jfree/data/general/AbstractDataset.java|/tests/org/jfree/chart/plot/junit/MultiplePiePlotTests.java
P20,3,math63,correct,N,21.7317,6,2,/src/main/java/org/apache/commons/math/util/MathUtils.java|/src/test/java/org/apache/commons/math/util/MathUtilsTest.java
P21,1,chart12,overfitting,Y,17.2,30,7,/source/org/jfree/chart/plot/MultiplePiePlot.java|/source/org/jfree/chart/plot/Plot.java|/source/org/jfree/data/category/DefaultCategoryDataset.java|/source/org/jfree/data/general/AbstractDataset.java|/source/org/jfree/data/general/Dataset.java|/source/org/jfree/data/general/DatasetChangeListener.java|/tests/org/jfree/chart/plot/junit/MultiplePiePlotTests.java
P21,2,math50,control,N,25.2683,24,12,/src/main/java/org/apache/commons/math/analysis/solvers/AbstractDifferentiableUnivariateRealSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/BaseAbstractUnivariateRealSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/BaseSecantSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/BaseUnivariateRealSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/NewtonSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/RegulaFalsiSolver.java|/src/main/java/org/apache/commons/math/util/Incrementor.java|/src/test/java/org/apache/commons/math/analysis/solvers/BaseSecantSolverAbstractTest.java|/src/test/java/org/apache/commons/math/analysis/solvers/PegasusSolverTest.java|/src/test/java/org/apache/commons/math/analysis/solvers/RegulaFalsiSolverTest.java|/src/test/java/org/apache/commons/math/analysis/solvers/SecantSolverTest.java|/src/test/java/org/apache/commons/math/random/RandomDataTest.java
P21,3,lang10,correct,Y,8.395,8,2,/src/main/java/org/apache/commons/lang3/time/FastDateParser.java|/src/test/java/org/apache/commons/lang3/time/FastDateParserTest.java
P22,1,math50,overfitting,N,19.9167,1,18,/src/main/java/org/apache/commons/math/ConvergenceException.java|/src/main/java/org/apache/commons/math/Field.java|/src/main/java/org/apache/commons/math/FieldElement.java|/src/main/java/org/apache/commons/math/MathConfigurationException.java|/src/main/java/org/apache/commons/math/MathException.java|/src/main/java/org/apache/commons/math/MathRuntimeException.java|/src/main/java/org/apache/commons/math/MaxEvaluationsExceededException.java|/src/main/java/org/apache/commons/math/analysis/DifferentiableUnivariateRealFunction.java|/src/main/java/org/apache/commons/math/analysis/UnivariateRealFunction.java|/src/main/java/org/apache/commons/math/analysis/function/Exp.java|/src/main/java/org/apache/commons/math/analysis/integration/UnivariateRealIntegratorImpl.java|/src/main/java/org/apache/commons/math/analysis/solvers/BaseSecantSolver.java|/src/main/java/org/apache/commons/math/filter/MeasurementModel.java|/src/main/java/org/apache/commons/math/filter/ProcessModel.java|/src/main/java/org/apache/commons/math/fraction/FractionFormat.java|/src/main/java/org/apache/commons/math/genetics/BinaryMutation.java|/src/main/java/org/apache/commons/math/geometry/Space.java|/src/test/java/org/apache/commons/math/analysis/solvers/RegulaFalsiSolverTest.java
P22,2,math63,correct,Y,5.1467,1,2,/src/main/java/org/apache/commons/math/util/MathUtils.java|/src/test/java/org/apache/commons/math/util/MathUtilsTest.java
P22,3,chart12,control,N,25.1783,0,19,/source/org/jfree/chart/ChartFrame.java|/source/org/jfree/chart/ChartMouseEvent.java|/source/org/jfree/chart/ChartRenderingInfo.java|/source/org/jfree/chart/ChartUtilities.java|/source/org/jfree/chart/annotations/CategoryAnnotation.java|/source/org/jfree/chart/annotations/CategoryPointerAnnotation.java|/source/org/jfree/chart/annotations/TextAnnotation.java|/source/org/jfree/chart/annotations/XYAnnotation.java|/source/org/jfree/chart/annotations/XYBoxAnnotation.java|/source/org/jfree/chart/annotations/XYDrawableAnnotation.java|/source/org/jfree/chart/plot/CombinedDomainCategoryPlot.java|/source/org/jfree/chart/plot/MultiplePiePlot.java|/source/org/jfree/data/category/CategoryToPieDataset.java|/source/org/jfree/data/category/DefaultCategoryDataset.java|/source/org/jfree/data/category/IntervalCategoryDataset.java|/source/org/jfree/data/general/PieDataset.java|/source/org/jfree/data/general/SeriesChangeEvent.java|/source/org/jfree/data/general/SeriesChangeListener.java|/tests/org/jfree/chart/plot/junit/MultiplePiePlotTests.java
P23,1,math50,correct,Y,15.2367,10,5,/src/main/java/org/apache/commons/math/ConvergenceException.java|/src/main/java/org/apache/commons/math/analysis/solvers/BaseSecantSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/RegulaFalsiSolver.java|/src/test/java/org/apache/commons/math/analysis/solvers/RegulaFalsiSolverTest.java|/src/test/java/org/apache/commons/math/analysis/solvers/SecantSolverTest.java
P23,2,lang10,overfitting,N,23.2283,17,3,/src/main/java/org/apache/commons/lang3/time/FastDateParser.java|/src/test/java/org/apache/commons/lang3/SystemUtilsTest.java|/src/test/java/org/apache/commons/lang3/time/FastDateParserTest.java
P23,3,chart12,control,N,25.265,12,4,/source/org/jfree/chart/plot/MultiplePiePlot.java|/source/org/jfree/data/category/DefaultCategoryDataset.java|/source/org/jfree/data/general/AbstractDataset.java|/tests/org/jfree/chart/plot/junit/MultiplePiePlotTests.java
P24,1,lang10,correct,Y,25.19,9,3,/src/main/java/org/apache/commons/lang3/time/DateParser.java|/src/main/java/org/apache/commons/lang3/time/FastDateParser.java|/src/test/java/org/apache/commons/lang3/time/FastDateParserTest.java
P24,2,chart12,control,Y,7.3267,5,4,/source/org/jfree/chart/plot/MultiplePiePlot.java|/source/org/jfree/chart/plot/Plot.java|/source/org/jfree/data/category/DefaultCategoryDataset.java|/tests/org/jfree/chart/plot/junit/MultiplePiePlotTests.java
P24,3,math33,overfitting,Y,25.165,20,5,/src/main/java/org/apache/commons/math3/linear/RealMatrix.java|/src/main/java/org/apache/commons/math3/optimization/linear/SimplexSolver.java|/src/main/java/org/apache/commons/math3/optimization/linear/SimplexTableau.java|/src/main/java/org/apache/commons/math3/util/Precision.java|/src/test/java/org/apache/commons/math3/optimization/linear/SimplexSolverTest.java
P25,1,lang10,control,N,25.155,14,1,/src/test/java/org/apache/commons/lang3/time/FastDateParserTest.java
P25,2,math50,control,N,25.1967,24,10,/src/main/java/org/apache/commons/math/analysis/UnivariateRealFunction.java|/src/main/java/org/apache/commons/math/analysis/solvers/BaseAbstractUnivariateRealSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/BaseSecantSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/BracketingNthOrderBrentSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/RegulaFalsiSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/RiddersSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/SecantSolver.java|/src/main/java/org/apache/commons/math/exception/TooManyEvaluationsException.java|/src/main/java/org/apache/commons/math/util/Incrementor.java|/src/test/java/org/apache/commons/math/analysis/solvers/RegulaFalsiSolverTest.java
P25,3,math33,overfitting,N,6.505,2,2,/src/main/java/org/apache/commons/math3/optimization/linear/SimplexTableau.java|/src/test/java/org/apache/commons/math3/optimization/linear/SimplexSolverTest.java
P26,1,math63,control,N,25.21,5,4,/src/main/java/org/apache/commons/math/ArgumentOutsideDomainException.java|/src/main/java/org/apache/commons/math/analysis/polynomials/PolynomialSplineFunction.java|/src/test/java/org/apache/commons/math/TestUtils.java|/src/test/java/org/apache/commons/math/util/MathUtilsTest.java
P26,2,math33,overfitting,N,25.2483,6,3,/src/main/java/org/apache/commons/math3/FieldElement.java|/src/main/java/org/apache/commons/math3/optimization/linear/SimplexSolver.java|/src/main/java/org/apache/commons/math3/optimization/linear/SimplexTableau.java
P26,3,chart12,correct,Y,25.1233,2,4,/source/org/jfree/chart/plot/MultiplePiePlot.java|/source/org/jfree/chart/plot/PiePlot.java|/source/org/jfree/data/general/AbstractDataset.java|/tests/org/jfree/chart/plot/junit/MultiplePiePlotTests.java
P27,1,chart12,overfitting,N,25.2633,21,12,/source/org/jfree/chart/plot/CategoryPlot.java|/source/org/jfree/chart/plot/MeterPlot.java|/source/org/jfree/chart/plot/MultiplePiePlot.java|/source/org/jfree/chart/plot/PiePlot.java|/source/org/jfree/chart/plot/Plot.java|/source/org/jfree/chart/plot/RingPlot.java|/source/org/jfree/chart/util/TableOrder.java|/source/org/jfree/data/DefaultKeyedValues2D.java|/source/org/jfree/data/category/CategoryToPieDataset.java|/source/org/jfree/data/category/DefaultCategoryDataset.java|/source/org/jfree/data/general/AbstractDataset.java|/tests/org/jfree/chart/plot/junit/MultiplePiePlotTests.java
P27,2,math33,control,N,25.2583,10,5,/src/main/java/org/apache/commons/math3/optimization/linear/AbstractLinearOptimizer.java|/src/main/java/org/apache/commons/math3/optimization/linear/SimplexSolver.java|/src/main/java/org/apache/commons/math3/optimization/linear/SimplexTableau.java|/src/main/java/org/apache/commons/math3/util/Precision.java|/src/test/java/org/apache/commons/math3/optimization/linear/SimplexSolverTest.java
P27,3,lang10,correct,Y,25.3,7,2,/src/main/java/org/apache/commons/lang3/time/FastDateParser.java|/src/test/java/org/apache/commons/lang3/time/FastDateParserTest.java
P28,1,lang10,overfitting,N,11.0333,3,3,/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java|/src/main/java/org/apache/commons/lang3/time/FastDateParser.java|/src/test/java/org/apache/commons/lang3/time/FastDateParserTest.java
P28,2,chart12,correct,Y,9.02,7,7,/source/org/jfree/chart/axis/Axis.java|/source/org/jfree/chart/plot/MultiplePiePlot.java|/source/org/jfree/chart/plot/RingPlot.java|/source/org/jfree/data/general/Dataset.java|/tests/org/jfree/chart/plot/junit/CategoryPlotTests.java|/tests/org/jfree/chart/plot/junit/CombinedDomainXYPlotTests.java|/tests/org/jfree/chart/plot/junit/MultiplePiePlotTests.java
P28,3,math63,control,N,25.1933,1,2,/src/main/java/org/apache/commons/math/util/MathUtils.java|/src/test/java/org/apache/commons/math/util/MathUtilsTest.java
P29,1,math50,correct,Y,25.21,3,3,/src/main/java/org/apache/commons/math/analysis/solvers/BaseSecantSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/RegulaFalsiSolver.java|/src/test/java/org/apache/commons/math/analysis/solvers/RegulaFalsiSolverTest.java
P29,2,math33,overfitting,N,25.1667,22,5,/src/main/java/org/apache/commons/math3/optimization/linear/AbstractLinearOptimizer.java|/src/main/java/org/apache/commons/math3/optimization/linear/SimplexSolver.java|/src/main/java/org/apache/commons/math3/optimization/linear/SimplexTableau.java|/src/main/java/org/apache/commons/math3/util/Precision.java|/src/test/java/org/apache/commons/math3/optimization/linear/SimplexSolverTest.java
P29,3,math63,control,N,20.6667,3,2,/src/main/java/org/apache/commons/math/util/MathUtils.java|/src/test/java/org/apache/commons/math/util/MathUtilsTest.java
P30,1,chart12,correct,Y,4.8583,1,3,/source/org/jfree/chart/plot/MultiplePiePlot.java|/source/org/jfree/data/general/AbstractDataset.java|/tests/org/jfree/chart/plot/junit/MultiplePiePlotTests.java
P30,2,lang10,control,N,25.195,23,5,/src/main/java/org/apache/commons/lang3/time/DateParser.java|/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java|/src/main/java/org/apache/commons/lang3/time/FastDateParser.java|/src/test/java/org/apache/commons/lang3/time/FastDateFormat_ParserTest.java|/src/test/java/org/apache/commons/lang3/time/FastDateParserTest.java
P30,3,math50,overfitting,N,6.5217,0,2,/src/main/java/org/apache/commons/math/analysis/solvers/BaseSecantSolver.java|/src/test/java/org/apache/commons/math/analysis/solvers/RegulaFalsiSolverTest.java
P31,1,chart12,control,Y,5.9083,11,3,/source/org/jfree/chart/plot/MultiplePiePlot.java|/source/org/jfree/data/general/AbstractDataset.java|/tests/org/jfree/chart/plot/junit/MultiplePiePlotTests.java
P31,2,math33,correct,Y,18.9733,54,7,/src/main/java/org/apache/commons/math3/linear/RealMatrix.java|/src/main/java/org/apache/commons/math3/optimization/PointValuePair.java|/src/main/java/org/apache/commons/math3/optimization/linear/AbstractLinearOptimizer.java|/src/main/java/org/apache/commons/math3/optimization/linear/SimplexSolver.java|/src/main/java/org/apache/commons/math3/optimization/linear/SimplexTableau.java|/src/main/java/org/apache/commons/math3/util/Precision.java|/src/test/java/org/apache/commons/math3/optimization/linear/SimplexSolverTest.java
P31,3,math50,overfitting,N,25.2283,107,13,/src/main/java/org/apache/commons/math/analysis/solvers/AbstractDifferentiableUnivariateRealSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/AbstractUnivariateRealSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/BaseAbstractUnivariateRealSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/BaseSecantSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/BaseUnivariateRealSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/BrentSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/LaguerreSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/RegulaFalsiSolver.java|/src/main/java/org/apache/commons/math/exception/TooManyEvaluationsException.java|/src/main/java/org/apache/commons/math/util/Incrementor.java|/src/test/java/org/apache/commons/math/analysis/solvers/BaseSecantSolverAbstractTest.java|/src/test/java/org/apache/commons/math/analysis/solvers/IllinoisSolverTest.java|/src/test/java/org/apache/commons/math/analysis/solvers/RegulaFalsiSolverTest.java
P32,1,math50,control,Y,25.2233,45,8,/src/main/java/org/apache/commons/math/analysis/solvers/BaseAbstractUnivariateRealSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/BaseSecantSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/BaseUnivariateRealSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/NewtonSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/RegulaFalsiSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/UnivariateRealSolver.java|/src/main/java/org/apache/commons/math/util/Incrementor.java|/src/test/java/org/apache/commons/math/analysis/solvers/RegulaFalsiSolverTest.java
P32,2,lang10,overfitting,N,25.2617,22,4,/src/main/java/org/apache/commons/lang3/time/DateParser.java|/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java|/src/main/java/org/apache/commons/lang3/time/FastDateParser.java|/src/test/java/org/apache/commons/lang3/time/FastDateParserTest.java
P32,3,math63,correct,Y,7.5233,8,2,/src/main/java/org/apache/commons/math/util/MathUtils.java|/src/test/java/org/apache/commons/math/util/MathUtilsTest.java
P33,1,chart12,overfitting,N,8.875,2,3,/chart12/tests/org/jfree/chart/annotations/junit/AnnotationsPackageTests.java|/source/org/jfree/data/general/AbstractDataset.java|/tests/org/jfree/chart/plot/junit/MultiplePiePlotTests.java
P33,2,lang10,control,N,25.1933,7,4,/lang10/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java|/lang10/src/test/java/org/apache/commons/lang3/time/FastDateFormat_ParserTest.java|/src/test/java/org/apache/commons/lang3/time/FastDateFormat_ParserTest.java|/src/test/java/org/apache/commons/lang3/time/FastDateParserTest.java
P33,3,math63,correct,Y,19.6783,7,3,/src/main/java/org/apache/commons/math/util/MathUtils.java|/src/test/java/org/apache/commons/math/TestUtils.java|/src/test/java/org/apache/commons/math/util/MathUtilsTest.java
P34,1,math63,overfitting,Y,18.615,10,2,/src/main/java/org/apache/commons/math/util/MathUtils.java|/src/test/java/org/apache/commons/math/util/MathUtilsTest.java
P34,2,chart12,correct,Y,9.23,10,7,/source/org/jfree/chart/plot/MultiplePiePlot.java|/source/org/jfree/chart/renderer/xy/CyclicXYItemRenderer.java|/source/org/jfree/data/category/CategoryDataset.java|/source/org/jfree/data/category/DefaultCategoryDataset.java|/source/org/jfree/data/general/AbstractDataset.java|/source/org/jfree/data/general/Dataset.java|/tests/org/jfree/chart/plot/junit/MultiplePiePlotTests.java
P34,3,math33,control,N,25.1967,18,3,/src/main/java/org/apache/commons/math3/util/FastMath.java|/src/main/java/org/apache/commons/math3/util/Precision.java|/src/test/java/org/apache/commons/math3/optimization/linear/SimplexSolverTest.java
P35,1,lang10,correct,Y,21.0133,5,4,/src/main/java/org/apache/commons/lang3/time/DateParser.java|/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java|/src/main/java/org/apache/commons/lang3/time/FastDateParser.java|/src/test/java/org/apache/commons/lang3/time/FastDateParserTest.java
P35,2,math33,overfitting,N,17.3033,5,3,/src/main/java/org/apache/commons/math3/optimization/linear/SimplexTableau.java|/src/main/java/org/apache/commons/math3/util/Precision.java|/src/test/java/org/apache/commons/math3/optimization/linear/SimplexSolverTest.java
P35,3,math50,control,N,25.22,17,8,/src/main/java/org/apache/commons/math/analysis/UnivariateRealFunction.java|/src/main/java/org/apache/commons/math/analysis/function/Sqrt.java|/src/main/java/org/apache/commons/math/analysis/solvers/BaseAbstractUnivariateRealSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/BaseSecantSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/RegulaFalsiSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/UnivariateRealSolverUtils.java|/src/main/java/org/apache/commons/math/exception/TooManyEvaluationsException.java|/src/test/java/org/apache/commons/math/analysis/solvers/RegulaFalsiSolverTest.java
P36,1,math63,correct,N,22.985,0,3,/src/main/java/org/apache/commons/math/ArgumentOutsideDomainException.java|/src/main/java/org/apache/commons/math/util/MathUtils.java|/src/test/java/org/apache/commons/math/util/MathUtilsTest.java
P36,2,chart12,control,Y,5.4517,0,2,/source/org/jfree/chart/plot/MultiplePiePlot.java|/tests/org/jfree/chart/plot/junit/MultiplePiePlotTests.java
P36,3,math33,overfitting,N,25.185,0,2,/src/main/java/org/apache/commons/math3/optimization/linear/LinearObjectiveFunction.java|/src/test/java/org/apache/commons/math3/optimization/linear/SimplexSolverTest.java
P37,1,chart12,control,Y,19.865,64,8,/source/org/jfree/chart/JFreeChart.java|/source/org/jfree/chart/plot/MultiplePiePlot.java|/source/org/jfree/chart/plot/PiePlot.java|/source/org/jfree/data/category/CategoryDataset.java|/source/org/jfree/data/category/CategoryToPieDataset.java|/source/org/jfree/data/general/AbstractDataset.java|/source/org/jfree/data/general/PieDataset.java|/tests/org/jfree/chart/plot/junit/MultiplePiePlotTests.java
P37,2,lang10,correct,N,25.1983,32,3,/src/main/java/org/apache/commons/lang3/time/DateParser.java|/src/main/java/org/apache/commons/lang3/time/FastDateParser.java|/src/test/java/org/apache/commons/lang3/time/FastDateParserTest.java
P37,3,math50,overfitting,N,25.1867,35,8,/src/main/java/org/apache/commons/math/analysis/UnivariateRealFunction.java|/src/main/java/org/apache/commons/math/analysis/solvers/AllowedSolution.java|/src/main/java/org/apache/commons/math/analysis/solvers/BaseAbstractUnivariateRealSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/BaseSecantSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/BaseUnivariateRealSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/RegulaFalsiSolver.java|/src/test/java/org/apache/commons/math/analysis/solvers/BaseSecantSolverAbstractTest.java|/src/test/java/org/apache/commons/math/analysis/solvers/RegulaFalsiSolverTest.java
P1_0,1,math33,control,N,25.4117,25,11,/src/main/java/org/apache/commons/math3/analysis/TrivariateFunction.java|/src/main/java/org/apache/commons/math3/complex/Complex.java|/src/main/java/org/apache/commons/math3/complex/ComplexField.java|/src/main/java/org/apache/commons/math3/optimization/PointValuePair.java|/src/main/java/org/apache/commons/math3/optimization/linear/AbstractLinearOptimizer.java|/src/main/java/org/apache/commons/math3/optimization/linear/LinearObjectiveFunction.java|/src/main/java/org/apache/commons/math3/optimization/linear/SimplexSolver.java|/src/main/java/org/apache/commons/math3/optimization/linear/SimplexTableau.java|/src/main/java/org/apache/commons/math3/special/Beta.java|/src/main/java/org/apache/commons/math3/util/Precision.java|/src/test/java/org/apache/commons/math3/optimization/linear/SimplexSolverTest.java
P1_0,2,math50,correct,Y,21.31,15,3,/src/main/java/org/apache/commons/math/analysis/solvers/BaseSecantSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/RegulaFalsiSolver.java|/src/test/java/org/apache/commons/math/analysis/solvers/RegulaFalsiSolverTest.java
P1_0,3,math63,overfitting,Y,4.7483,10,2,/src/main/java/org/apache/commons/math/util/MathUtils.java|/src/test/java/org/apache/commons/math/util/MathUtilsTest.java
P2_0,2,chart12,overfitting,Y,11.1433,7,5,/source/org/jfree/chart/plot/FastScatterPlot.java|/source/org/jfree/chart/plot/MultiplePiePlot.java|/source/org/jfree/chart/plot/PiePlot.java|/source/org/jfree/data/general/AbstractDataset.java|/tests/org/jfree/chart/plot/junit/MultiplePiePlotTests.java
P2_0,3,lang10,correct,Y,21.3467,15,2,/src/main/java/org/apache/commons/lang3/time/FastDateParser.java|/src/test/java/org/apache/commons/lang3/time/FastDateParserTest.java
P3_0,1,chart12,overfitting,Y,3.6167,3,4,/source/org/jfree/chart/plot/MultiplePiePlot.java|/source/org/jfree/chart/plot/PiePlot.java|/source/org/jfree/data/general/AbstractDataset.java|/tests/org/jfree/chart/plot/junit/MultiplePiePlotTests.java
P3_0,2,math50,control,N,25.2517,24,8,/src/main/java/org/apache/commons/math/analysis/solvers/AbstractUnivariateRealSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/BaseAbstractUnivariateRealSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/BaseSecantSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/NewtonSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/RegulaFalsiSolver.java|/src/main/java/org/apache/commons/math/optimization/direct/BaseAbstractScalarOptimizer.java|/src/main/java/org/apache/commons/math/util/Incrementor.java|/src/test/java/org/apache/commons/math/analysis/solvers/RegulaFalsiSolverTest.java
P3_0,3,math63,correct,Y,8.5533,4,2,/src/main/java/org/apache/commons/math/util/MathUtils.java|/src/test/java/org/apache/commons/math/util/MathUtilsTest.java
P4_0,1,math63,overfitting,N,25.4417,16,3,/src/main/java/org/apache/commons/math/optimization/linear/SimplexSolver.java|/src/main/java/org/apache/commons/math/util/MathUtils.java|/src/test/java/org/apache/commons/math/util/MathUtilsTest.java
P4_0,3,lang10,control,N,25.305,18,3,/src/main/java/org/apache/commons/lang3/time/DateParser.java|/src/main/java/org/apache/commons/lang3/time/FastDateParser.java|/src/test/java/org/apache/commons/lang3/time/FastDateParserTest.java
P5_0,1,math63,correct,Y,11.665,5,2,/src/main/java/org/apache/commons/math/util/MathUtils.java|/src/test/java/org/apache/commons/math/util/MathUtilsTest.java
P5_0,2,lang10,overfitting,N,16.7867,15,3,/src/main/java/org/apache/commons/lang3/time/DateParser.java|/src/main/java/org/apache/commons/lang3/time/FastDateParser.java|/src/test/java/org/apache/commons/lang3/time/FastDateParserTest.java
P5_0,3,math33,control,N,25.3367,22,4,/src/main/java/org/apache/commons/math3/optimization/PointValuePair.java|/src/main/java/org/apache/commons/math3/optimization/linear/AbstractLinearOptimizer.java|/src/main/java/org/apache/commons/math3/util/Precision.java|/src/test/java/org/apache/commons/math3/optimization/linear/SimplexSolverTest.java
P6_0,1,chart12,correct,Y,6.43,6,5,/source/org/jfree/chart/plot/MultiplePiePlot.java|/source/org/jfree/chart/plot/Plot.java|/source/org/jfree/data/category/CategoryDataset.java|/source/org/jfree/data/category/DefaultCategoryDataset.java|/tests/org/jfree/chart/plot/junit/MultiplePiePlotTests.java
P6_0,2,lang10,control,N,25.75,26,10,/src/main/java/org/apache/commons/lang3/time/DateFormatUtils.java|/src/main/java/org/apache/commons/lang3/time/DateParser.java|/src/main/java/org/apache/commons/lang3/time/DatePrinter.java|/src/main/java/org/apache/commons/lang3/time/DateUtils.java|/src/main/java/org/apache/commons/lang3/time/DurationFormatUtils.java|/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java|/src/main/java/org/apache/commons/lang3/time/FastDateParser.java|/src/main/java/org/apache/commons/lang3/time/FastDatePrinter.java|/src/main/java/org/apache/commons/lang3/time/FormatCache.java|/src/test/java/org/apache/commons/lang3/time/FastDateParserTest.java
P6_0,3,math63,overfitting,N,4.8467,2,2,/src/main/java/org/apache/commons/math/util/MathUtils.java|/src/test/java/org/apache/commons/math/util/MathUtilsTest.java
